"","dF/dx","Std. Err.","z","P>|z|"
"faixa_etaria25-34",-0.00412913729058468,0.00135330492610765,-3.05115071328442,0.00227966114449752
"faixa_etaria35-49",-0.0108889286876041,0.00130581289429439,-8.33881234837099,0.0000000000000000750403856065032
"faixa_etaria50-64",-0.0123760041285576,0.00119154540734477,-10.3865149009606,0.000000000000000000000000285598777191106
"faixa_etaria65+",-0.0101672004586868,0.00131262832952821,-7.74568111168304,0.00000000000000950708349416364
"sexoMulher",0.0133994707048948,0.00123367141085343,10.8614583972771,0.00000000000000000000000000175917017990599
"corParda",-0.00199980885458419,0.00121922414903871,-1.6402306796178,0.100957212608645
"corPreta",0.000416993390824731,0.0018246909958539,0.22852822300994,0.819235617757105
"casaCasa",-0.0204310472803657,0.00234831833491346,-8.70028861786263,0.00000000000000000331041143163983
"EstratoInterior Urbano",-0.0206659479837715,0.00209870074023835,-9.84701991453268,0.0000000000000000000000706064554080716
"EstratoRM da Capital",-0.00858927743662032,0.00114464095095772,-7.50390542067685,0.0000000000000619440058937767
"decil_renda7",-0.00382852490305451,0.00190905071688334,-2.00546002743439,0.0449138899458652
"decil_renda9",0.00378244007429339,0.00243341372403697,1.55437607544122,0.120094736591654
"decil_renda10",0.00753029367949999,0.00267548068026638,2.81455729994292,0.00488444690873507
"decil_renda4",-0.00529240895481988,0.00184764527177175,-2.86440748972603,0.00417790170539158
"decil_renda5",-0.00287696705379775,0.00202761714150753,-1.41889067462644,0.155930891453159
"decil_renda3",-0.00818128737400193,0.00166581645434772,-4.91127780173444,0.000000904847845483234
"decil_renda2",-0.00958175781429777,0.00155133072082575,-6.17647654730742,0.000000000655479411874392
"decil_renda6",-0.00371699559724408,0.00193013592251312,-1.9257688300026,0.054133245104819
"decil_renda1",-0.0109870809864877,0.00145280868268389,-7.56264821200709,0.0000000000000394944692638612
"RMManaus",0.00507811084912546,0.00380191610315901,1.33567146442449,0.181656680290663
"RMBelém",-0.012380975256466,0.00392941697392376,-3.15084281933635,0.00162800076302921
"RMSão Luís",0.00472105284125442,0.0058168647784391,0.811614679226095,0.417012765577442
"RMFortaleza",0.0000983129428541105,0.00320120698634645,0.0307112108880893,0.975499850384981
"RMRecife",0.021855336622501,0.00537078877992376,4.06929736358227,0.0000471551315693488
"RMMaceió",-0.00257346157242136,0.00376902073040879,-0.682793159416303,0.494737552801335
"RMSalvador",0.0138914920235648,0.00499520252788748,2.78096672677647,0.00541972916832867
"RMBelo Horizonte",0.0209673179242645,0.00553389263532596,3.78889134755133,0.000151321073012399
"RMVitória",0.00676349471930154,0.00452558343294726,1.49450227125674,0.135044388719023
"RMRio de Janeiro",0.00427734310484138,0.0029255942662605,1.46204248284527,0.143729568609297
"RMSão Paulo",0.00473706721354846,0.00333284670409015,1.42132766194587,0.15522152537448
"RMCuritiba",-0.00976134293282045,0.00289320272264321,-3.37388834056625,0.000741144243343093
"RMFlorianópolis",0.00257481656117821,0.00655505769301048,0.392798459107947,0.694468342841414
"RMPorto Alegre",0.0411499927158177,0.00793956650066459,5.18290170028467,0.000000218460190465717
"RMCampo Grande",0.0255076337834111,0.00774011845597681,3.29550948457571,0.000982433871227336
"RMCuiabá",0.0272331574145342,0.0103774805569944,2.62425520963072,0.00868386896011697
"RMGoiânia",0.0342078338349616,0.00948611257741633,3.60609612797559,0.000310838029136731
"RMBrasília",-0.0000732823123320916,0.00292116309404613,-0.0250866897782786,0.979985816860631
