"","OddsRatio","Std. Err.","z","P>|z|"
"faixa_etaria25-34",0.775627961084804,0.0688963372785933,-2.86043276369141,0.00423063251958799
"faixa_etaria35-49",0.501855706905312,0.0444962812319834,-7.77594694227129,0.00000000000000748850913162999
"faixa_etaria50-64",0.415123854547884,0.0418295089321592,-8.72513013820421,0.00000000000000000265874697786446
"faixa_etaria65+",0.450166931880357,0.0638328571401609,-5.62868110479926,0.0000000181592771483316
"sexoMulher",2.08535260857446,0.132501943544637,11.5666589212629,0.000000000000000000000000000000608046240166868
"corParda",0.890920022842016,0.0628913839206383,-1.63618298116949,0.101801297187414
"corPreta",1.02408919339704,0.105738680315218,0.230540383353254,0.817671887070652
"casaCasa",0.427105279701904,0.0305038884657178,-11.9115642652165,0.0000000000000000000000000000000103026125211751
"EstratoInterior Urbano",0.308033700721851,0.0367602700247097,-9.86728002274226,0.0000000000000000000000577082163350263
"EstratoRM da Capital",0.554637725209267,0.0504696300613009,-6.4776724158607,0.0000000000931483075006039
"decil_renda2",1.14104211875515,0.193705878942207,0.777216271937935,0.437031183557399
"decil_renda3",1.29485305289794,0.219800904580692,1.52222496398489,0.127952722040444
"decil_renda4",1.64260959670618,0.264097700161269,3.08675337051581,0.00202355411703032
"decil_renda5",1.94703156883341,0.306513191096252,4.23250528213899,0.0000231102483690914
"decil_renda6",1.83970899564147,0.289412694181324,3.87508996165623,0.00010658531546184
"decil_renda7",1.82627881208914,0.286450505468603,3.83986770184598,0.000123100629342131
"decil_renda8",2.32494775583063,0.348071631805729,5.6354858841993,0.000000017456544352465
"decil_renda9",2.84292248385232,0.421963658815372,7.03941662658026,0.00000000000193046350310414
"decil_renda10",3.37740228300588,0.493971200569938,8.32165818256016,0.0000000000000000867411563734047
"RMManaus",1.29599026252106,0.224033528548266,1.49985578896866,0.133651762310305
"RMBelém",0.30101244888116,0.216045469578445,-1.67278049170801,0.0943705166616419
"RMSão Luís",1.27388731629691,0.339798843466452,0.907518855222141,0.364132483157434
"RMFortaleza",1.00566363566835,0.184464798001565,0.0307898521631611,0.975437133385233
"RMRecife",2.32553374093712,0.338327434186168,5.80098751261057,0.00000000659255102635378
"RMMaceió",0.852582590676195,0.214697611008638,-0.633329356581241,0.526518586463144
"RMSalvador",1.82199541111435,0.301997051508786,3.61948521056523,0.000295189680691633
"RMBelo Horizonte",2.26072463458106,0.343658986004345,5.36590092330371,0.0000000805461489948227
"RMVitória",1.39586301483475,0.268528646059331,1.7336633937871,0.0829778252238
"RMRio de Janeiro",1.25066801919867,0.174030062718465,1.6074619328179,0.107953073575259
"RMSão Paulo",1.27698121287638,0.197433814367174,1.58139302632573,0.113788200993334
"RMCuritiba",0.449675335174593,0.158472309830915,-2.26786473925789,0.023337452067439
"RMFlorianópolis",1.14881717251441,0.380137324447292,0.419266118409645,0.675021655383083
"RMPorto Alegre",3.55084937255711,0.519136768589651,8.66744536182481,0.00000000000000000441923592802144
"RMCampo Grande",2.52686170299594,0.478985620963274,4.89022082456045,0.00000100722918335434
"RMCuiabá",2.62542964973805,0.639869824874529,3.96046443393911,0.0000748041341652788
"RMGoiânia",3.06870192854613,0.598319684546984,5.75076566652552,0.00000000888401814436313
"RMBrasília",0.995780402343822,0.168163465445598,-0.0250392235595627,0.980023677530709
