"","term","estimate","std.error","statistic","p.value","odds_ratio"
"1","(Intercept)",-2.70559490715193,0.253456275138742,-10.6747994527691,0.0000000000000000000000000278796905715054,0.0668305540435284
"2","faixa_etaria25-34",-0.255619630229937,0.125352434329864,-2.03920754787478,0.0414887877394446,0.774436485003895
"3","faixa_etaria35-49",-0.672914906580822,0.122697045192753,-5.48436113945284,0.0000000438158840348194,0.510219166887093
"4","faixa_etaria50-64",-0.92248633814653,0.13483233608715,-6.84172925365821,0.0000000000088972821724126,0.397529418768215
"5","faixa_etaria65+",-0.680071906657237,0.214204820908146,-3.17486741789468,0.00150936687522696,0.506580564540886
"6","sexoMulher",0.615068651356708,0.0877744152417377,7.00737965229116,0.00000000000279621157704257,1.84978358535215
"7","corParda",-0.107885431375573,0.10726260242164,-1.00580658067091,0.314563779287838,0.897730442280747
"8","corPreta",0.0633518564221102,0.144036507698486,0.439831938682695,0.660080376953421,1.06540164169887
"9","casaCasa",-0.977110804863258,0.123280683406062,-7.92590353871454,0.00000000000000284646636146246,0.376397013807687
"10","EstratoInterior Urbano",-1.15823240543496,0.207718073289422,-5.57598280733689,0.000000026083066215318,0.314040787367452
"11","EstratoRM da Capital",-0.464273845193959,0.142496750883483,-3.25813635970961,0.00112995883593328,0.628591394163282
"12","decil_renda2",-0.0225957510345748,0.233214620170803,-0.0968882268960069,0.92281955910244,0.977657620982814
"13","decil_renda3",0.297914099443926,0.264172730013984,1.12772464980831,0.259497547270051,1.347046070903
"14","decil_renda4",0.39813745975945,0.222545290261758,1.7890176839562,0.0736805446039786,1.48904870011612
"15","decil_renda5",0.695492912358822,0.226303276079425,3.07327814430192,0.00213013813835528,2.00469697036038
"16","decil_renda6",0.615880177910608,0.263520835286115,2.33712137881591,0.0194773749635656,1.85128534312637
"17","decil_renda7",0.658509469514001,0.232462205679439,2.83275927624155,0.00463574654377149,1.9319106156219
"18","decil_renda8",0.853203455948912,0.228138601036629,3.73984697053492,0.000186468612672588,2.34715382526155
"19","decil_renda9",1.08158991068214,0.220123371452408,4.91356235162874,0.000000926770788279447,2.94936505231647
"20","decil_renda10",1.21570351465275,0.214055714246115,5.67937893615384,0.0000000143869442274447,3.3726659498102
"21","RMManaus",-0.0558999839395753,0.223312975856317,-0.25032125305402,0.802350577125781,0.945633709719117
"22","RMBelém",-1.74351926363444,0.857625514301435,-2.03296104717056,0.042116208756885,0.174903783709145
"23","RMSão Luís",-0.0147784289665009,0.391952890031704,-0.0377046051766719,0.969924910036082,0.985330236056825
"24","RMFortaleza",-0.389087855488584,0.238376283336833,-1.63224231052714,0.102699813770686,0.677674729954048
"25","RMRecife",0.525666342001431,0.197599750638804,2.66025812432479,0.00783632835707931,1.69158564748655
"26","RMMaceió",-0.372625204032627,0.339500453999259,-1.09756908906355,0.272452593479454,0.688923390171236
"27","RMSalvador",0.274134951921886,0.239415900909488,1.14501564382527,0.252264785134906,1.31539230498088
"28","RMBelo Horizonte",0.584041005806893,0.215797094117466,2.70643591469762,0.00682714249785651,1.79327042484376
"29","RMVitória",-0.14124110679422,0.2724460447629,-0.518418635576587,0.604192212560336,0.868279938265603
"30","RMRio de Janeiro",-0.228426269758185,0.214715175930343,-1.06385712499563,0.287451649647066,0.795784968459692
"31","RMSão Paulo",-0.113429199820866,0.211815112098873,-0.53551042084249,0.592323945082109,0.892767402265671
"32","RMCuritiba",-1.07481263303927,0.500084633096738,-2.14926146877093,0.0316679081131972,0.341361709215347
"33","RMFlorianópolis",-0.0916813681042628,0.383158861421559,-0.239277692193038,0.810901376371867,0.912395821644243
"34","RMPorto Alegre",0.949108431929563,0.220344657212246,4.30738119061964,0.0000168790689636865,2.58340535052089
"35","RMCampo Grande",0.666796925866809,0.241677149059642,2.75904001872454,0.00582105182784095,1.94798776785772
"36","RMCuiabá",1.02576981352882,0.321636143294265,3.18922432977422,0.00143653430908635,2.78924183040377
"37","RMGoiânia",0.810071375504631,0.289267464583787,2.80042339593982,0.00512577141758205,2.24806843796946
"38","RMBrasília",-0.316348586315563,0.238283468388296,-1.3276144940112,0.184374179798094,0.728805354309806
