"","Modo","cor","share","frequencia","frequencia_sd","ticket","ticket_sd","gasto","gasto_sd"
"1","Aplicativo","Amarela, Indígena ou outra",0.0167897918065816,8.37211491862462,6.410408203331,28.3737962900018,31.3027435738467,3518.17326612479,3822.49766104624
"2","Aplicativo","Branca",0.492948287441236,6.8529418056994,6.33921743287454,39.7991877924218,66.2868066848739,1862.79523580608,1800.32021865379
"3","Aplicativo","Parda",0.380792478173271,6.72399454742216,5.94941092500149,38.300975189991,58.7773228046497,1698.85163669292,1653.9767638668
"4","Aplicativo","Preta",0.109469442578912,6.58221671968291,7.40463706431859,37.1157467359255,68.8375598681698,1621.08972185017,1634.46726433121
"5","Táxi","Amarela, Indígena ou outra",0.0107935238856686,3.51742151575296,3.37934698185309,79.1922437825493,76.540884128643,1194.80125715866,2232.11254124638
"6","Táxi","Branca",0.327403557865281,4.65097698036785,4.79838053775388,76.3991452971527,154.964782189707,1431.12279055873,1695.3761264257
"7","Táxi","Parda",0.555466719968019,4.6183897875013,4.90668573271233,42.9259059226684,101.662216721485,1021.90936217993,1693.46596700383
"8","Táxi","Preta",0.106336198281031,4.67138029565717,4.97585353974358,36.6794437629893,69.2491496780824,1073.17100194975,1554.75672095799
"9","Transporte Privado","Amarela, Indígena ou outra",0.0115718157181572,5.26639922447374,4.42214497709028,255.404315740105,766.36185871191,5341.55237535495,6322.63945068207
"10","Transporte Privado","Branca",0.435880758807588,5.08917392614855,4.13400149061336,241.105960988257,511.278865444595,5273.65116590033,5631.53436182024
"11","Transporte Privado","Parda",0.459186991869919,5.00126273815231,4.39631177908191,179.650833743781,427.984807512944,3870.93549320166,4840.66935659722
"12","Transporte Privado","Preta",0.0934146341463415,4.78131747316876,4.23655182328607,212.692982450262,474.760293136863,3877.93064061402,4496.38987783097
"13","Transporte Público","Amarela, Indígena ou outra",0.0127469221329322,10.4894731437317,9.78982191024094,50.6408844329725,142.398011860308,1394.96862081784,1501.98403371499
"14","Transporte Público","Branca",0.338901864534262,10.9833546211541,9.96494763016592,43.8920330452359,127.049690412435,1457.74427822744,1642.97884998886
"15","Transporte Público","Parda",0.513558449784252,9.95935888193148,9.45191852840187,39.9011601749111,106.77235844829,1270.92190968408,1434.7351571769
"16","Transporte Público","Preta",0.134832350263252,11.9684509063419,10.7461422100918,34.1772459796723,86.420610313381,1417.76894101521,1323.60289737229
