"","Modo","Estrato","share","frequencia","frequencia_sd","ticket","ticket_sd","gasto","gasto_sd"
"1","Aplicativo","Capital",0.660846205507052,7.37289796057166,6.8132186523495,43.1946231672967,69.7671870849384,1995.60340803094,1905.92698439102
"2","Aplicativo","Interior Rural",0.0208193418401612,4.80235737516488,5.36426959534262,56.3530819703469,51.0113592736582,1581.99159608348,1701.80129151602
"3","Aplicativo","Interior Urbano",0.172599059771659,5.06061075715211,5.20904178061161,34.4143003312374,56.2000504991145,1281.42509873353,1323.32326118525
"4","Aplicativo","RM da Capital",0.145735392881128,6.80684778575289,4.8472514732897,26.4239867655222,35.5166371195989,1780.54326369105,1582.7903157947
"5","Táxi","Capital",0.218868678792724,5.21696687552121,5.09645873423183,84.8522428749755,191.032743032732,1710.70526915846,2059.28429876165
"6","Táxi","Interior Rural",0.202078752748351,3.27041985416843,3.30926433136306,47.9246753429933,83.2469049420808,967.841538314945,1494.30897738639
"7","Táxi","Interior Urbano",0.496701978812712,4.62920887979752,5.08812928330647,45.8563485951192,95.9222607707212,942.966592729806,1588.56979595428
"8","Táxi","RM da Capital",0.0823505896462123,5.07515522930882,5.38879752445968,39.4769015919911,53.9151082806665,1314.22733565119,1421.25315519207
"9","Transporte Privado","Capital",0.211571815718157,5.57948247729283,5.06572994688731,238.139393793502,531.177308619019,5621.92479868564,5952.27783143087
"10","Transporte Privado","Interior Rural",0.276449864498645,4.55799975582832,3.87092114374464,173.123236395765,480.012744706343,3299.20007561993,4991.40388066194
"11","Transporte Privado","Interior Urbano",0.417777777777778,4.84397959338415,3.97570754687863,211.295083179757,446.423741865707,4381.61986292433,4959.11824288544
"12","Transporte Privado","RM da Capital",0.0942547425474255,5.26472993554686,4.50618091734902,235.842155143674,457.764087689027,5114.02880798526,4976.47567831716
"13","Transporte Público","Capital",0.345671192747714,13.2446582316861,10.1776191940331,31.3287854596357,96.421807992169,1514.87958444704,1433.66921462671
"14","Transporte Público","Interior Rural",0.175092039111674,5.03361917101579,5.98988573943064,48.8123752633929,133.231076239746,972.845631622998,1512.90956828789
"15","Transporte Público","Interior Urbano",0.313883060844781,7.87415760129547,8.37291195644685,57.0322665697229,131.477298092782,1165.51147827899,1484.91104585081
"16","Transporte Público","RM da Capital",0.16539329401053,13.7502578499661,11.9117422942475,26.009280321327,61.072881748959,1655.10130218129,1586.19871986125
