"","Modo","faixa_etaria","share","frequencia","frequencia_sd","ticket","ticket_sd","gasto","gasto_sd"
"1","Aplicativo","0-14",0.00470114170584285,7.17451481842618,4.82168821562295,13.1635727853894,5.73210411276032,1187.53014028476,966.465683868412
"2","Aplicativo","15-24",0.216924110141034,7.12106132067471,6.06798007226784,30.3836340767672,45.8797190064775,1699.54285050206,1724.04584846118
"3","Aplicativo","25-34",0.25923438549362,7.59333868083632,7.37142791069767,38.3837593039947,52.7969811199079,2097.71835953177,2160.51589725368
"4","Aplicativo","35-49",0.278710543989255,6.872065875976,6.50203390563869,42.7184987111384,77.349494489649,1794.24700472603,1711.29084168483
"5","Aplicativo","50-64",0.177300201477502,5.75209493610921,5.20122599519883,39.7854382939715,71.2451011591296,1470.87792672422,1397.51420103191
"6","Aplicativo","65+",0.0631296171927468,5.40505930433389,3.57726395554782,47.4458891031917,63.1102385840599,2078.76033064072,1472.99801624485
"7","Táxi","0-14",0.0101938836697981,7.86493969356296,6.22462605293769,20.9061050244371,43.099766477548,818.617288394492,691.97777492044
"8","Táxi","15-24",0.14611233260044,5.10605167246842,5.13418922254167,32.1878499025675,68.2920438762389,847.664163457553,1029.71373430376
"9","Táxi","25-34",0.19708175094943,4.50445193870527,5.23107216649415,47.2230023565968,127.583811191035,961.08131657607,1644.46568118053
"10","Táxi","35-49",0.257445532680392,4.82974520667476,5.24606488058827,47.8923403568564,92.2638338011204,1193.19341669678,1695.36677862418
"11","Táxi","50-64",0.22986208275035,4.24163421383771,4.27942681435197,91.3171902342537,174.623814607359,1362.8432826433,1719.43717512233
"12","Táxi","65+",0.15930441734959,4.38916740895109,4.04346637562958,51.9427299248955,80.9605922083537,1529.4254087876,2097.54462868792
"13","Transporte Privado","0-14",0.00146341463414634,3.64902898521075,3.88186947612967,117.091623107599,154.692902576954,1220.0726148343,1086.00267261216
"14","Transporte Privado","15-24",0.0970731707317073,4.78892578684913,4.02382382451043,129.427663892079,349.392788190409,2807.63429496431,3538.10138790697
"15","Transporte Privado","25-34",0.22390243902439,5.10742876060729,4.32586990665426,187.948154064544,438.903247982225,4089.55684872192,4594.59082208338
"16","Transporte Privado","35-49",0.358455284552846,5.16985476187439,4.3988003252065,211.978581376854,421.003674418594,4834.16239577334,5517.62354736043
"17","Transporte Privado","50-64",0.235284552845528,5.02884622088119,4.2640297040636,251.194553349363,548.958743783312,5280.15812931977,5612.39900424963
"18","Transporte Privado","65+",0.0838753387533875,4.51436742803115,3.76058199307489,286.06657844009,649.071218247948,4999.95648602232,5604.68487834155
"19","Transporte Público","0-14",0.0195558370610823,7.60806943674256,7.48628823927231,21.0221406375922,54.539668651919,749.542110348625,1329.04903158678
"20","Transporte Público","15-24",0.216499742686354,11.4901351127041,10.0887826665988,29.688094899067,82.5308579907885,1286.79517104227,1397.03953694547
"21","Transporte Público","25-34",0.19646886504889,12.3421912179108,10.9775121804292,42.7373958431644,111.472984066517,1528.13645823775,1485.71277286426
"22","Transporte Público","35-49",0.277186176319227,11.4313293759949,10.0991202968326,38.9605956169649,111.767453782338,1481.76264617941,1569.13465773742
"23","Transporte Público","50-64",0.218993705712363,9.15552287890692,8.71654454872578,43.494331494329,123.604668245141,1286.09590075256,1500.58838170849
"24","Transporte Público","65+",0.071335259886782,5.05731293476261,5.522799570084,75.3864823849818,155.138781316741,1066.50391454462,1506.5295695525
