"","Modo","decil_renda","share","frequencia","frequencia_sd","ticket","ticket_sd","gasto","gasto_sd"
"1","Aplicativo","1",0.0530557421087978,5.31789643338817,2.80737451251228,20.3337853425366,20.9964985986372,1078.15550871182,950.395581143961
"2","Aplicativo","2",0.0543989254533244,5.17179253579657,5.09142074059396,33.8599766081508,34.8486172062081,1172.62869737796,1051.06601786196
"3","Aplicativo","3",0.0718603089321692,4.7741661548235,3.09302471011842,31.5045614517685,65.3260252749789,1045.82693196383,952.436156148234
"4","Aplicativo","4",0.0745466756212223,6.34915516237142,5.03692796957068,28.5161274135096,46.1988865655754,1455.15203945626,988.55913659752
"5","Aplicativo","5",0.0685023505708529,5.51460703942035,5.17023244376006,25.6135537639978,19.0748196615116,1277.42947555483,1134.12589595391
"6","Aplicativo","6",0.0920080591000672,7.67574670789611,6.69629169792486,29.7905525568836,32.6041590926945,2112.632232331,1882.48414965866
"7","Aplicativo","7",0.108797850906649,6.90388002800747,6.23946700823801,41.1069613020011,53.9984786852858,2128.72168133429,2326.17560014181
"8","Aplicativo","8",0.126930826057757,7.07331061100861,6.42069451252669,36.2093952747765,73.5454028350469,1688.88251983558,1547.05890290923
"9","Aplicativo","9",0.141705842847549,7.48963724620004,8.50526230918352,41.3215377422662,51.1291254666168,2101.79420524056,2178.18577802667
"10","Aplicativo","10",0.208193418401612,7.40282763579038,6.73260531951927,53.3587190999825,94.6882157742866,2138.55234751668,2032.88237881421
"11","Táxi","1",0.143713771736958,4.53171936891179,4.24099832909669,28.116861810685,73.8069484699461,721.725532118428,1174.31531096184
"12","Táxi","2",0.124525284829103,4.60062657319301,4.75666869970209,27.7006878458715,52.594517978051,863.235204679129,1223.85109868013
"13","Táxi","3",0.107535478712772,4.73554685396973,4.99615440267437,36.4492239539622,80.4378106747282,957.69215924704,1843.90961594179
"14","Táxi","4",0.105336797921247,4.564438600163,4.56452707255095,41.0371938669455,84.3386705117669,1029.06878162028,1216.79893820966
"15","Táxi","5",0.0829502298620828,4.76344974210065,5.28273022369125,39.0995938834722,82.1513191813997,1018.50843750819,1379.30800961602
"16","Táxi","6",0.0903457925244853,4.2939516699816,5.00698401625511,44.0860732894292,72.3847702229148,957.456142162269,1327.75093011185
"17","Táxi","7",0.0809514291425145,4.17658037725584,4.51714798237652,55.8760823744334,98.5733057133811,1221.45502228402,1784.22830610256
"18","Táxi","8",0.0843493903657805,4.28345642497534,4.56984960320513,56.6776290703024,92.1225942215972,1267.35816523107,1585.59109004102
"19","Táxi","9",0.0871477113731761,4.88046200753741,5.50398591423939,148.953749891072,291.504595283253,1852.48050143401,1849.3608653935
"20","Táxi","10",0.0931441135318809,5.17614363307515,5.44571858512389,83.0328745256291,123.836840463711,1942.44069839296,2890.36071559288
"21","Transporte Privado","1",0.0792411924119241,4.72591214092765,4.38269053816202,130.230687741452,329.361284524838,2425.09451052134,3391.68163399591
"22","Transporte Privado","2",0.077940379403794,4.64505382318848,4.27662587263463,133.551643090715,247.31197619819,2762.72434775797,3881.51603637365
"23","Transporte Privado","3",0.0810840108401084,4.72281375763195,4.24235968456091,160.357323943149,327.735092201619,3159.52800075009,3483.22960886011
"24","Transporte Privado","4",0.0857452574525745,5.0423650442378,4.22404881726536,156.421784111936,425.952020661465,3444.10108631656,3867.08144742397
"25","Transporte Privado","5",0.0916260162601626,4.81493914543308,4.1880258635804,188.719642620892,469.201192305759,3684.22713079409,4087.7313330196
"26","Transporte Privado","6",0.0982926829268293,5.01488673704826,4.38284766397437,201.287411433191,461.219100461197,4063.07133710397,4621.87302378471
"27","Transporte Privado","7",0.106043360433604,5.00305596120504,4.30043165761472,200.574388518146,385.116064059208,4493.97422282695,4897.16945131548
"28","Transporte Privado","8",0.117371273712737,5.02529294660629,4.20873571080585,247.257741416463,545.281434592481,5055.88566609483,5074.12798492608
"29","Transporte Privado","9",0.126585365853659,5.2857665353668,4.07153053051899,258.800100085483,504.768013544558,5789.26501552543,5349.31639912527
"30","Transporte Privado","10",0.13609756097561,5.46230845669856,4.40833077718313,330.522390339237,666.681997622753,7611.85061046798,7593.51599007389
"31","Transporte Público","1",0.166937175883773,8.77317349539367,8.48126023207879,26.7502309503457,74.8998321292232,1010.57345952188,1061.58378253867
"32","Transporte Público","2",0.132377973951942,10.2411332033395,9.56295472094143,34.6390380474554,81.0561355570705,1240.90929981405,1224.74160684708
"33","Transporte Público","3",0.122243774989114,11.3602409152863,9.98569250129948,35.4178688972279,84.7603250723674,1324.52774376584,1382.83509327523
"34","Transporte Público","4",0.115236926487471,11.0953110816522,9.86050071389482,34.7645956277064,88.1115589395922,1408.77728340147,1597.60597430203
"35","Transporte Público","5",0.102846284786826,11.8268553675155,10.3721070008444,37.339091088278,92.8699955156775,1556.96942053787,1544.18894483607
"36","Transporte Público","6",0.0940580341237481,11.8325689014032,11.0049890110567,41.9026098293216,118.164649847,1414.02121563591,1355.01381621305
"37","Transporte Público","7",0.0854281303194648,10.9813813642764,9.65102746105637,45.8688046280605,113.257877335936,1503.00060963553,1573.49555136611
"38","Transporte Público","8",0.0758877320771149,10.9276724009234,10.2644747086067,46.3515509888595,149.070044896183,1426.37104700526,1592.29377576908
"39","Transporte Público","9",0.0611218874945568,10.6267088666416,9.99112684470679,58.6632773726188,151.347912737556,1515.88072970829,1655.09535951519
"40","Transporte Público","10",0.0437829064565932,9.03739144874934,9.46576296475816,93.750016696753,233.87417344777,1792.24922786976,2638.17294608594
