"","Modo","status_casa","share","frequencia","frequencia_sd","ticket","ticket_sd","gasto","gasto_sd"
"1","Aplicativo","Não Vulnerável",0.768300873069174,7.05738240912202,6.58416296669037,38.7914058535855,65.6818335560433,1851.14446225341,1788.75377754614
"2","Aplicativo","Pouco Vulnerável",0.231699126930826,5.34444109192105,5.21037285087195,38.7897885635992,55.2163018776325,1621.01863658897,1734.59505370949
"3","Táxi","Não Vulnerável",0.429342394563262,4.88952848203498,5.02060621441886,67.2854514247426,141.973662557939,1401.00926205417,1808.16930235392
"4","Táxi","Pouco Vulnerável",0.551868878672796,4.3554326669684,4.76868305781878,41.8913292099109,97.472604563359,944.683227474776,1586.72128226692
"5","Táxi","Vulnerável",0.00639616230261843,1.44971559617602,1.92346270599718,27.6828475965209,52.6594660178996,363.946955843617,554.786686795169
"6","Táxi",NA,0.0123925644613232,2.85351888040808,3.00255487895948,42.1123121351101,155.800335055204,623.168981635222,1789.39234920014
"7","Transporte Privado","Não Vulnerável",0.462926829268293,5.18274436250225,4.3988283144614,234.80896390753,496.38798705943,5148.0732514006,5453.40222072652
"8","Transporte Privado","Pouco Vulnerável",0.517777777777778,4.76101426118518,4.16011071512755,182.939704429141,461.986919268019,3702.43375930035,5006.19041602689
"9","Transporte Privado","Vulnerável",0.00872628726287263,4.62315452433892,4.23625950335709,142.961830703825,342.138841255119,3013.82184760287,4045.07831202972
"10","Transporte Privado",NA,0.0106233062330623,4.76487315294666,3.47948969484263,81.3492659754782,219.94862312653,1671.55046242967,3284.14555770869
"11","Transporte Público","Não Vulnerável",0.541665017220221,12.1268383655219,10.7795630251249,38.6306025397565,107.23115052788,1483.61558851208,1499.32998774492
"12","Transporte Público","Pouco Vulnerável",0.446538141799612,7.49746196038896,8.14777698453501,45.7444294054858,117.970852339792,1112.78165660334,1478.36772391362
"13","Transporte Público","Vulnerável",0.00407743161395036,4.79166132385502,4.96213212752015,42.9336420216869,78.8154336913096,1098.35032920377,1115.81349864551
"14","Transporte Público",NA,0.00775899608091524,4.04912480019411,4.25448532567215,42.1551876659924,123.176861478606,932.015393908425,1754.88614273213
